x,Curve1
"168.80288","0.0116251"
"168.97902","0.0085146"
"169.21899","0.0048992"
"169.46151","0.0024316"
"169.67084","0.0009165"
"169.83933","0.0001579"
"170.00271","0.0000993"
"170.31671","0.0008221"
"170.63837","0.0032807"
"170.88344","0.0061604"
"171.07235","0.009321"
"171.19489","0.0116707"

x,Curve2
"169.08114","0.0201035"
"169.15772","0.0170787"
"169.29813","0.0116451"
"169.44364","0.0074433"
"169.63000","0.0034928"
"169.76785","0.0013629"
"169.90315","0.0002688"
"170.00526","0.0000152"
"170.19417","0.0010481"
"170.39585","0.0039285"
"170.54391","0.0072017"
"170.68942","0.0113428"
"170.80685","0.0158484"
"170.91407","0.0200461"

x,Curve3
"169.39514","0.0200985"
"169.50491","0.0135456"
"169.62234","0.0079724"
"169.73977","0.003715"
"169.81635","0.001754"
"169.89804","0.0006609"
"170.00526","0.0000432"
"170.12014","0.0008533"
"170.24268","0.003399"
"170.39074","0.00852"
"170.48264","0.012942"
"170.56689","0.01812"
"170.59752","0.0200232"
