x	Curve1	Curve3
168,80288	0,0116251	
168,97902	0,0085146	
169,21899	0,0048992	
169,39514		0,0200985
169,46151	0,0024316	
169,50491		0,0135456
169,62234		0,0079724
169,67084	0,0009165	
169,73977		0,003715
169,81635		0,001754
169,83933	0,0001579	
169,89804		0,0006609
170,00271	9,93e-05	
170,00526		4,32e-05
170,12014		0,0008533
170,24268		0,003399
170,31671	0,0008221	
170,39074		0,00852
170,48264		0,012942
170,56689		0,01812
170,59752		0,0200232
170,63837	0,0032807	
170,88344	0,0061604	
171,07235	0,009321	
171,19489	0,0116707	
